file_name,Корреспондент (Отправитель),Дата письма,Номер письма (Reference),Адресат (Получатель),Подписант (Подпись),Доп. информация
01778_L.tif,Benoît MORVAN,04/01/2007 (Aumale),01778,POLICE NATIONALE,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: MORVAN Benoit"
01774_L.tif,Madame BODARD Danielle,06/01/2007 (Schirrhoffen),01774,Les 3 Suifs.,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BODARD Danielle"
01767_L.tif,Sylvie GIROUD,29/12/2006 (Froideterre),01767,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: GIROUD Sylvie"
01766_L.tif,Melle PINTO Emilie,04/01/2007,01766,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: PINTO Emilie"
01762_L.tif,DECOCK Sonia,15/12/2006 (Laquenexy),01762,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: DECOCK Sonia"
01770_L.tif,Faux Damien,23/12/2006 (Wissembourg),01770,"Hendo ""Top Coule""","[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: FAUX Damien"
01768_L.tif,BUNEL Franck,15/12/2006,01768,mairie,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BUNEL Franck"
01780_L.tif,EVEW Elodie,26/12/2006 (Valloire),01780,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: EVEN Elodie"
01769_L.tif,ROCCHI Jean-Pierre,31/12/2006 (St Maurice de C.),01769,Mairie,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: ROCCHI Jean-pierre"
01776_L.tif,Winterstein Patrick,05/01/2007 (Pierre la Treiche),01776,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: WINTERSTEIN Patrick"
01779_L.tif,BELOTTI Lauriane,03/01/2007 (Seebach),01779,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: BELOTTI Lauriane"
01763_L.tif,Maryse SCHMITT,05/01/2007 (Dampritoux),01763,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SCHMITT Maryse"
01773_L.tif,Virginie PORTE,03/01/2007 (Hargenbichen),01773,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PORTE Virginie"
01775_L.tif,DUCLAUX Jean Charles,,01775,SépaFR Téléphonie,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: DUCLAUX Jean-charles"
01777_L.tif,Amar Deroche,05/01/2007 (Soncourt),01777,BOF Telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: DEROCHE Amar"
01764_L.tif,GERVAIS Julie,04/01/2007 (Kalhausen),01764,Service commercial,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: GERVAIS Julie"
01765_L.tif,Mlle Larrieu Margot,03/01/2006 (Bionville sur Nied),01765,Banque crédit populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: LARRIEU Margot"
01771_L.tif,,,01771,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: DESERT Isabelle"
01796_L.tif,Armelle PALACIOS,08/01/2007,01796,BMP,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PALACIOS Armelle"
01798_L.tif,Eugène VIOLETTE,05/01/2007 (Sollies Toucas),01798,,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: VIOLETTE Eugene"
01782_L.tif,Guy Manuel,05/01/2007,01782,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MANUEL Guy"
01791_L.tif,Mlle Delaunay Cassandra.,05/01/2007 (Dame),01791,M. le Conseiller,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: DELAUNAY Cassandra"
01787_L.tif,Ophëlie GENDRON,,01787,Banque Société Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: GENDRON Ophelie"
01788_L.tif,Maria Mourier,,01788,Banque de Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MOURIER Marina"
01793_L.tif,Valere Geraldine,08/01/2007 (Banvillars),01793,BMP. Banque Mutuelle de Paris,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: VALERE Geraldine"
01783_L.tif,VERNIER Hugo,06/01/2007 (Brumath),01783,NAIF assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: VERNIER Hugo"
01781_L.tif,SABOURIN Elise,05/01/2007,01781,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SABOURIN Elise"
01795_L.tif,Rachel JULIAN,04/01/2007,01795,LA REDOUTE,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: JULIAN Rachel"
01792_L.tif,BOIVIN Maylis,05/01/2007,01792,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: BOIVIN Maylis"
01784_L.tif,Jacqueline VÉRA,30/12/2006 (Ste Menchoud),01784,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: VERA Jacqueline"
01785_L.tif,WOLFF Gauthier,,01785,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: WOLFF Gauthier"
01790_L.tif,MARIA Angelina,,01790,Tresorerie des impots,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MARIA Angelina"
01799_L.tif,GUILLOT Natacha,07/01/2007 (Werentzhouse),01799,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: GUILLOT Natacha"
01786_L.tif,Mlle GAIGNARD Frédérique,30/12/2006 (Vésoul),01786,Service Clientèle,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: GAIGNARD Frederique"
01794_L.tif,BARDIN Marielle,22/12/2006,01794,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: BARDIN Marielle"
01789_L.tif,"Madame Assie Aline,",06/01/2007 (Le 06/01/2007),01789,"Monsieur Kenint,","[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: ASSIE Aline"
01797_L.tif,Madame Rolande LIEMARD,08/01/2007 (St Jean Rohrbach),01797,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LIENARD Rolande"
01354_L.tif,DELETANG Rose-Marie,10/12/2006 (Kientzville),01354,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: DELETANG Rose-marie"
01355_L.tif,Madame Ghislaine METZ,09/12/2006 (Le Mans),01355,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: METZ Ghislaine"
01362_L.tif,Mme MASSON Lydie,,01362,La Poste,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: MASSON Lydie"
01349_L.tif,LADET Stéphane,01/12/2006 (Sancey Le Long),01349,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: LADET Stephanie"
01357_L.tif,CORREIA Angélique,11/12/2006 (Glatigny),01357,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: CORREIA Angelique"
01350_L.tif,Fofana Linda,,01350,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: FOFANA Linda"
01361_L.tif,Laurence DAUMONT,10/12/2006 (CHAMESOL),01361,N.N.A Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: DAUMONT Laurence"
01360_L.tif,Marie-Claire Metge,01/12/2006 (Illzach),01360,Police Nationale,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: METGE Marie-claire"
01352_L.tif,Hequet Elodie,09/12/2006 (PONTPOINT),01352,Univers Sale Mobile,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: HEQUET Elodie"
01359_L.tif,VERWAERDE Marion,10/12/2006 (Vezelise),01359,Police Nationale,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: VERWAERDE Marion"
01348_L.tif,JARDIN Mireille,06/12/2006 (Bastia),01348,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: JARDIN Mireille"
01356_L.tif,Mr DELGADO Patrick,10/12/2006 (ST AME),01356,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: DELGADO Patrick"
01358_L.tif,Mr Olivier Rubin,18/11/2006 (ZETTING),01358,BAAF assurance,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: RUBIN Olivier"
01353_L.tif,JOANNES Sylvie,10/12/2006 (Niederbronn les Bains),01353,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: JOANNES Sylvie"
01378_L.tif,Monsieur ARNAUD POUGET,19/07/2006 (GEUDERTHEIM),01378,Mr Le Directeur d'agence,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: POUGET Arnaud"
01368_L.tif,Decamps Marc,12/12/2006 (Mondorff),01368,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: DECAMPS Marc"
01364_L.tif,LOISON Angélique,,01364,TRESORERIE des impots,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LOISON Angelique"
01374_L.tif,Mme Aubier Lou,12/12/2006 (Buhl),01374,BAAF assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: AUBIER Lou"
01377_L.tif,HEBERT Aurélie,,01377,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: HEBERT Aurelie"
01365_L.tif,Sorin Cécile,13/12/2006 (Bousse),01365,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SORIN Cecile"
01369_L.tif,Danièle SCHMIT,09/12/2006 (Dauendorf),01369,LA REBOUTE,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SCHMIT Daniele"
01379_L.tif,TURQUET Jimmy,12/12/2006 (Montbouton),01379,"Quotidien ""Le Pain""","[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: TURQUET Jimmy"
01363_L.tif,Valere Géraldine,07/12/2006 (Banvillars),01363,Les 3 suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: VALERE Geraldine"
01381_L.tif,LATOUR Mireille,,01381,BOF telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: LATOUR Mireille"
01367_L.tif,MAQUIN Edwige,13/12/2006 (Villers),01367,SepaFR Telephonie,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: MAQUIN Edwige"
01375_L.tif,BRETTEN Nathanael,10/12/2006 (Sand),01375,BANQUE CREDIT POPULAIRE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BRETTE Nathanael"
01370_L.tif,JANNIN Coralie,13/12/2006 (Oberarg),01370,,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: JANNIN Coralie"
01366_L.tif,Justine PARISSE,,01366,La Redoute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PARISSE Justine"
01376_L.tif,Claeys Jean Louis,,01376,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: CLAEYS Jean-louis"
01380_L.tif,Leïla RUSSO,,01380,service : client,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: RUSSO Leila"
01372_L.tif,Leroy Maryline,,01372,,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: LEROY Maryline"
01371_L.tif,Madame Friant Maryvonne,,01371,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: FRIANT Maryvonne"
01373_L.tif,SOUFFLET Pascal,08/12/2006 (Sienegent),01373,Top Coule !,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: SOUFFLET Pascal"
01388_L.tif,Ophélie GENDRON,,01388,LA REBOUTE,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: GENDRON Ophelie"
01385_L.tif,Thiebaud Dominique,12/12/2006 (Maloncourt),01385,GDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: THIEBAUD Dominique"
01396_L.tif,LAFONTAINE Daniel,,01396,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: LAFONTAINE Daniel"
01392_L.tif,ROGER Martine,,01392,CPAM,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: ROGER Martine"
01395_L.tif,Joselyne SASSI,08/12/2006 (Bienville),01395,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: SASSI Joselyne"
01391_L.tif,Joseph BISSOW,,01391,NNA assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BISSON Joseph"
01389_L.tif,BARBAUD Emilie,12/12/2006 (La Maxe),01389,B.M.P,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BARBAUD Emilie"
01393_L.tif,Me FOURMOND Laeticia,11/12/2006,01393,La Redoute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: FOURMOND Loetitia"
01390_L.tif,M. Bruno GAUDIN,09/12/2006,01390,La Poste,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: GAUDIN Bruno"
01397_L.tif,SAYA Candy,08/12/2006 (Courcelles sur Nied),01397,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: SAYAH Candy"
01384_L.tif,SANCHES Charlotte,08/12/2006 (Petite Rosselle),01384,Brouille Telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: SANCHES Charlotte"
01382_L.tif,AMELINE Louise,10/12/2006 (Marspich),01382,"MAGAZINE ""DEO""","[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: AMELINE Louise"
01387_L.tif,BOIVIN Maylis,11/12/2006,01387,BANQUE DEBIT\nLyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BOIVIN Maylis"
01383_L.tif,Mme CASTELAIN Marion,11/12/2006 (Eguenigue),01383,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: CASTELAIN Marion"
01398_L.tif,ABDELKADER Hafida,11/12/2006 (HOLTZWIHR),01398,Trésorerie des impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: ABDELKADER Hafida"
01394_L.tif,VERA Mariam,,01394,FRANCE TELEPHONE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: VERA Mariam"
01386_L.tif,M BOUCHEZ Yoann,12/12/2006,01386,Banque Mutuelle de Paris,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: BOUCHEZ Yoann"
01411_L.tif,Sans Annick,10/12/2006 (Vibersviller),01411,,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: SANS Annick"
01399_L.tif,MME CARNEIRO MARIANNE,12/12/2006 (ST JURE),01399,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: CARNEIRO Marianne"
01403_L.tif,GAY Nathalie,,01403,La Redoute,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: GAY Nathalie"
01401_L.tif,Mme Guichard Maeva,11/12/2006 (Verny),01401,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: GUICHARD Maeva"
01412_L.tif,Sandrine COTTIN,,01412,Trésorie des Impots,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: COTTIN Sandrine"
01407_L.tif,FASQUEL PIERRE,06/12/2006 (Les Breseux),01407,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: FASQUEL Pierre"
01409_L.tif,Fabienne LE NORMAND,10/12/2006 (Uberach),01409,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: LE NORMAND Fabienne"
01410_L.tif,VILLA Dominique,12/12/2006,01410,ANPE (Agence Nationale\nPour l'Emploi),"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: VILLA Dominique"
01413_L.tif,Jourdan Louis,,01413,BABF\nassurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: JOURDAN Louis"
01404_L.tif,BAUMARD Marie Pierre,,01404,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BAUMARD Marie-pierre"
01402_L.tif,Desgranges Clement,,01402,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: DESGRANGES Clement"
01405_L.tif,Amandine Burg,,01405,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BURG Amandine"
01400_L.tif,Mme Nadine RIAHI,12/12/2006 (Chilly Mazarin),01400,Trésorerie des impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: RIAHI Nadine"
01406_L.tif,GELIN Justine,08/12/2006 (Etobon),01406,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: GELIN Justine"
01408_L.tif,Denis BELLIARD,,01408,BMP Banque Mutuelle deParis,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BELLIARD Denis"
01426_L.tif,HARDOUIN Paul,14/12/2006 (Gournay en Bray),01426,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: HARDOUIN Paul"
01417_L.tif,Agnès GUINET,,01417,Mairie de St Martin d'Abbat,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: GUINET Agnes"
01420_L.tif,HERBERT Martine,14/12/2006 (Buchy),01420,LA POSTE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: HERBERT Martine"
01431_L.tif,CARNET MAELLE,14/12/2006,01431,CPAM,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: CARNET Maelle"
01419_L.tif,Monique STARCK,15/12/2006 (Rambervillers),01419,Banque Crédit Populaire,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: STARCK Monique"
01427_L.tif,WALCZAK SYLVIE,,01427,BAAF ASSURANCES,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: WALCZAK Sylvie"
01416_L.tif,CHEVALLIER Frédéric,,01416,LA POSTE,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: CHEVALLIER Frederic"
01428_L.tif,ROCCHI Jean-Pierre,14/12/2006 (Clans),01428,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: ROCCHI Jean-pierre"
01425_L.tif,Massart patricia,,01425,Mairie,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: MASSART Patricia"
01415_L.tif,Colette CARDINAL,12/12/2006 (Valleroy),01415,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: CARDINAL Colette"
01414_L.tif,ATAMANI Gilbert,,01414,"Hebdomadaire ""TOP Coule!""","[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: ATMANI Gilbert"
01421_L.tif,CLEMENCON Chaima,04/04/2006 (SAULNES),01421,Sépar FR Téléphone,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: CLEMENCON Chaima"
01430_L.tif,TARIK DOVEAU,13/12/2006 (Marlenheim),01430,NAIF ASSURANCES,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: DUVEAU Tarik"
01422_L.tif,ROZE Eugénie,14/12/2006 (Barr),01422,NAIF ASSURANCES,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: ROZE Eugenie"
01423_L.tif,LENAIN Martine,14/12/2006,01423,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: LENAIN Martine"
01418_L.tif,Madame BODARD Danielle,12/12/2006 (Schirrhoffen),01418,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: BODARD Danielle"
01429_L.tif,Elodie EVEN,11/12/2006 (VALLOIRE),01429,,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: EVEN Elodie"
01424_L.tif,Florence COSTES,08/12/2006 (Dombasle en Xaintois),01424,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: COSTES Florence"
01448_L.tif,BONNEMAISON Lionnel,,01448,"Mensuel ""Fleurs & Merguez""","[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: BONNEMAISON Lionel"
01433_L.tif,M. Bernard OLIVE,12/12/2006 (St Anne d'Evenos),01433,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: OLIVE Bernard"
01438_L.tif,BOURGES Dominique,11/12/2006 (Auxerre),01438,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BOURGES Dominique"
01447_L.tif,Picavet Denise,,01447,Manif assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: PICAVET Denise"
01439_L.tif,André CHARPIN,05/12/2006 (Clans),01439,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: CHARPIN Andre"
01441_L.tif,CAUDRON Gabrielle,11/12/2006 (Saint André),01441,"Mensuel ""Fleurs & Merguez""","[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: CAUDRON Gabrielle"
01440_L.tif,DIET MARINE,10/12/2006 (Sorneville),01440,BANQUE DEBIT LYONNAIS,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: DIET Marine"
01445_L.tif,Mme BIDET NANCY,14/12/2006 (RITZING),01445,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BIDET Nancy"
01435_L.tif,Angelina MARIA,,01435,NAIF Assurance,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: MARIA Angelina"
01443_L.tif,M. PALERMO Marc,13/12/2006 (DABO),01443,Univers Sale Mobile,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: PALERMO Marc"
01432_L.tif,Mme Savalle Josiane,,01432,Banque Société Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: SAVALLE Josiane"
01444_L.tif,Yves LE SAUX,14/12/2006 (Petite Roselle),01444,LA REBOUTE,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: LE SAUX Yves"
01442_L.tif,Marie-Noëlle MOYON,11/12/2006 (Marcheren),01442,Trésorerie des Impôts,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: MOYON Marie-noelle"
01436_L.tif,Mme Jocelyne BLIN,15/12/2006 (Blamont),01436,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: BLIN Jocelyne"
01434_L.tif,Mlle Delaunay Cassandra,15/12/2006 (Danne),01434,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: DELAUNAY Cassandra"
01437_L.tif,BARDON Pascale,13/12/2006 (Lutter),01437,Hebdomadaire TOP COULE !,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: BARDON Pascale"
01446_L.tif,GERVAIS Julie,13/12/2006 (Kalhausen),01446,Mr le Directeur,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: GERVAIS Julie"
01449_L.tif,Argoud Florence,,01449,NNA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: ARGOUD Florence"
01451_L.tif,Maryse OLIVE,14/12/2006 (BALDENHEIM),01451,BAAF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: OLIVE Maryse"
01459_L.tif,LE BAIL SANDRA,12/12/2006 (Albestroff),01459,BOF Telecom,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: LE BAIL Sandra"
01457_L.tif,Charlène MINVIELLE,,01457,Monsieur le Maire,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: MINVIELLE Charline"
01452_L.tif,Lucie JEGOU,23/11/2006 (Thiancourt),01452,"Hebdomadaire ""TOP COULE""","[Рукописная подпись, текст не распознан]","Сценарий: Открытие счёта, Автор: JEGOU Lucie"
01461_L.tif,Marie-Laure CORBIN,13/12/2006 (Malroy),01461,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: CORBIN Marie-laure"
01458_L.tif,Marie CAPARROS,12/12/2006 (Niederbronn),01458,BANQUE SOCIETE GENIALE,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: CAPARROS Marie"
01456_L.tif,Claude PIOU,21/11/2006 (Treilleis),01456,"Quotidien ""Le Pain""","[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: PIOU Claude"
01460_L.tif,Brigitte Béranger,16/12/2006 (Plainfaing),01460,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Закрытие счёта, Автор: BERANGER Brigitte"
01455_L.tif,Marie Cazenave,06/12/2006 (Ammerzwiller),01455,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: CAZENAVE Marie"
01454_L.tif,MELCHIOR Brigitte,13/12/2006 (Thelod),01454,Univers Sale Mobile,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: MELCHIOR Brigitte"
01450_L.tif,Melle Bourgeon Alexandra,,01450,Naif Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: BOURGEON Alexandra"
01453_L.tif,Mr Meyer,11/12/2006 (Chortel ST Germain),01453,,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: MEYER Nicolas"
01462_L.tif,Anne Gillard,16/12/2006,01462,ASSEDIC,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: GILLARD Anne"
01476_L.tif,PRUVOT Eliane,13/12/2006 (Rognac),01476,La Reboute,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: PRUVOT Eliane"
